TITLE	URL	URL_WIKIPEDIA	URL_VIKIDIA
Biocénose	/wiki/Bioc%C3%A9nose	https://fr.wikipedia.org/wiki/Bioc%C3%A9nose	https://fr.vikidia.org/wiki/Bioc%C3%A9nose
Biodiversité	/wiki/Biodiversit%C3%A9	https://fr.wikipedia.org/wiki/Biodiversit%C3%A9	https://fr.vikidia.org/wiki/Biodiversit%C3%A9
Biodégradable	/wiki/Biod%C3%A9gradable	https://fr.wikipedia.org/wiki/Biod%C3%A9gradable	https://fr.vikidia.org/wiki/Biod%C3%A9gradable
Biographie	/wiki/Biographie	https://fr.wikipedia.org/wiki/Biographie	https://fr.vikidia.org/wiki/Biographie
Bioindicateur	/wiki/Bioindicateur	https://fr.wikipedia.org/wiki/Bioindicateur	https://fr.vikidia.org/wiki/Bioindicateur
Biologie	/wiki/Biologie	https://fr.wikipedia.org/wiki/Biologie	https://fr.vikidia.org/wiki/Biologie
Biologie du développement	/wiki/Biologie_du_d%C3%A9veloppement	https://fr.wikipedia.org/wiki/Biologie_du_d%C3%A9veloppement	https://fr.vikidia.org/wiki/Biologie_du_d%C3%A9veloppement
Biologie moléculaire	/wiki/Biologie_mol%C3%A9culaire	https://fr.wikipedia.org/wiki/Biologie_mol%C3%A9culaire	https://fr.vikidia.org/wiki/Biologie_mol%C3%A9culaire
Bioluminescence	/wiki/Bioluminescence	https://fr.wikipedia.org/wiki/Bioluminescence	https://fr.vikidia.org/wiki/Bioluminescence
Biomasse	/wiki/Biomasse	https://fr.wikipedia.org/wiki/Biomasse	https://fr.vikidia.org/wiki/Biomasse
Biomasse (écologie)	/wiki/Biomasse_(%C3%A9cologie)	https://fr.wikipedia.org/wiki/Biomasse_(%C3%A9cologie)	https://fr.vikidia.org/wiki/Biomasse_(%C3%A9cologie)
Biomasse (énergie)	/wiki/Biomasse_(%C3%A9nergie)	https://fr.wikipedia.org/wiki/Biomasse_(%C3%A9nergie)	https://fr.vikidia.org/wiki/Biomasse_(%C3%A9nergie)
Biome	/wiki/Biome	https://fr.wikipedia.org/wiki/Biome	https://fr.vikidia.org/wiki/Biome
Bionique	/wiki/Bionique	https://fr.wikipedia.org/wiki/Bionique	https://fr.vikidia.org/wiki/Bionique
Biosphère	/wiki/Biosph%C3%A8re	https://fr.wikipedia.org/wiki/Biosph%C3%A8re	https://fr.vikidia.org/wiki/Biosph%C3%A8re
Biostatistique	/wiki/Biostatistique	https://fr.wikipedia.org/wiki/Biostatistique	https://fr.vikidia.org/wiki/Biostatistique
Biot (Alpes-Maritimes)	/wiki/Biot_(Alpes-Maritimes)	https://fr.wikipedia.org/wiki/Biot_(Alpes-Maritimes)	https://fr.vikidia.org/wiki/Biot_(Alpes-Maritimes)
Biotechnologie	/wiki/Biotechnologie	https://fr.wikipedia.org/wiki/Biotechnologie	https://fr.vikidia.org/wiki/Biotechnologie
Biplan	/wiki/Biplan	https://fr.wikipedia.org/wiki/Biplan	https://fr.vikidia.org/wiki/Biplan
Bipède	/wiki/Bip%C3%A8de	https://fr.wikipedia.org/wiki/Bip%C3%A8de	https://fr.vikidia.org/wiki/Bip%C3%A8de
Birdy (chanteuse)	/wiki/Birdy_(chanteuse)	https://fr.wikipedia.org/wiki/Birdy_(chanteuse)	https://fr.vikidia.org/wiki/Birdy_(chanteuse)
Birmanie	/wiki/Birmanie	https://fr.wikipedia.org/wiki/Birmanie	https://fr.vikidia.org/wiki/Birmanie
Birmingham	/wiki/Birmingham	https://fr.wikipedia.org/wiki/Birmingham	https://fr.vikidia.org/wiki/Birmingham
Birmingham (Alabama)	/wiki/Birmingham_(Alabama)	https://fr.wikipedia.org/wiki/Birmingham_(Alabama)	https://fr.vikidia.org/wiki/Birmingham_(Alabama)
Biruté Galdikas	/wiki/Birut%C3%A9_Galdikas	https://fr.wikipedia.org/wiki/Birut%C3%A9_Galdikas	https://fr.vikidia.org/wiki/Birut%C3%A9_Galdikas
Biscarrosse	/wiki/Biscarrosse	https://fr.wikipedia.org/wiki/Biscarrosse	https://fr.vikidia.org/wiki/Biscarrosse
Biscaye	/wiki/Biscaye	https://fr.wikipedia.org/wiki/Biscaye	https://fr.vikidia.org/wiki/Biscaye
Biscino	/wiki/Biscino	https://fr.wikipedia.org/wiki/Biscino	https://fr.vikidia.org/wiki/Biscino
Biscotte	/wiki/Biscotte	https://fr.wikipedia.org/wiki/Biscotte	https://fr.vikidia.org/wiki/Biscotte
Biscuit	/wiki/Biscuit	https://fr.wikipedia.org/wiki/Biscuit	https://fr.vikidia.org/wiki/Biscuit
Bisexualité	/wiki/Bisexualit%C3%A9	https://fr.wikipedia.org/wiki/Bisexualit%C3%A9	https://fr.vikidia.org/wiki/Bisexualit%C3%A9
Bismarck	/wiki/Bismarck	https://fr.wikipedia.org/wiki/Bismarck	https://fr.vikidia.org/wiki/Bismarck
Bismarck (cuirassé)	/wiki/Bismarck_(cuirass%C3%A9)	https://fr.wikipedia.org/wiki/Bismarck_(cuirass%C3%A9)	https://fr.vikidia.org/wiki/Bismarck_(cuirass%C3%A9)
Bismuth	/wiki/Bismuth	https://fr.wikipedia.org/wiki/Bismuth	https://fr.vikidia.org/wiki/Bismuth
Bison	/wiki/Bison	https://fr.wikipedia.org/wiki/Bison	https://fr.vikidia.org/wiki/Bison
Bison d'Amérique du Nord	/wiki/Bison_d%27Am%C3%A9rique_du_Nord	https://fr.wikipedia.org/wiki/Bison_d%27Am%C3%A9rique_du_Nord	https://fr.vikidia.org/wiki/Bison_d%27Am%C3%A9rique_du_Nord
Bison des bois	/wiki/Bison_des_bois	https://fr.wikipedia.org/wiki/Bison_des_bois	https://fr.vikidia.org/wiki/Bison_des_bois
Bisounours	/wiki/Bisounours	https://fr.wikipedia.org/wiki/Bisounours	https://fr.vikidia.org/wiki/Bisounours
Bissap	/wiki/Bissap	https://fr.wikipedia.org/wiki/Bissap	https://fr.vikidia.org/wiki/Bissap
Bissau	/wiki/Bissau	https://fr.wikipedia.org/wiki/Bissau	https://fr.vikidia.org/wiki/Bissau
Bissectrice	/wiki/Bissectrice	https://fr.wikipedia.org/wiki/Bissectrice	https://fr.vikidia.org/wiki/Bissectrice
Bissectrice d'un angle	/wiki/Bissectrice_d%27un_angle	https://fr.wikipedia.org/wiki/Bissectrice_d%27un_angle	https://fr.vikidia.org/wiki/Bissectrice_d%27un_angle
Bit	/wiki/Bit	https://fr.wikipedia.org/wiki/Bit	https://fr.vikidia.org/wiki/Bit
BitLocker	/wiki/BitLocker	https://fr.wikipedia.org/wiki/BitLocker	https://fr.vikidia.org/wiki/BitLocker
Bitcache	/wiki/Bitcache	https://fr.wikipedia.org/wiki/Bitcache	https://fr.vikidia.org/wiki/Bitcache
Bitcoin	/wiki/Bitcoin	https://fr.wikipedia.org/wiki/Bitcoin	https://fr.vikidia.org/wiki/Bitcoin
Bite	/wiki/Bite	https://fr.wikipedia.org/wiki/Bite	https://fr.vikidia.org/wiki/Bite
Bitte	/wiki/Bitte	https://fr.wikipedia.org/wiki/Bitte	https://fr.vikidia.org/wiki/Bitte
Bitume	/wiki/Bitume	https://fr.wikipedia.org/wiki/Bitume	https://fr.vikidia.org/wiki/Bitume
Bivalve	/wiki/Bivalve	https://fr.wikipedia.org/wiki/Bivalve	https://fr.vikidia.org/wiki/Bivalve
Bizerte	/wiki/Bizerte	https://fr.wikipedia.org/wiki/Bizerte	https://fr.vikidia.org/wiki/Bizerte
Bizone	/wiki/Bizone	https://fr.wikipedia.org/wiki/Bizone	https://fr.vikidia.org/wiki/Bizone
Bizutage	/wiki/Bizutage	https://fr.wikipedia.org/wiki/Bizutage	https://fr.vikidia.org/wiki/Bizutage
Bière	/wiki/Bi%C3%A8re	https://fr.wikipedia.org/wiki/Bi%C3%A8re	https://fr.vikidia.org/wiki/Bi%C3%A8re
Bièvre	/wiki/Bi%C3%A8vre	https://fr.wikipedia.org/wiki/Bi%C3%A8vre	https://fr.vikidia.org/wiki/Bi%C3%A8vre
Biélorussie	/wiki/Bi%C3%A9lorussie	https://fr.wikipedia.org/wiki/Bi%C3%A9lorussie	https://fr.vikidia.org/wiki/Bi%C3%A9lorussie
Björn Ulvaeus	/wiki/Bj%C3%B6rn_Ulvaeus	https://fr.wikipedia.org/wiki/Bj%C3%B6rn_Ulvaeus	https://fr.vikidia.org/wiki/Bj%C3%B6rn_Ulvaeus
BlaBlaBus	/wiki/BlaBlaBus	https://fr.wikipedia.org/wiki/BlaBlaBus	https://fr.vikidia.org/wiki/BlaBlaBus
BlaBlaCar	/wiki/BlaBlaCar	https://fr.wikipedia.org/wiki/BlaBlaCar	https://fr.vikidia.org/wiki/BlaBlaCar
Blablaland	/wiki/Blablaland	https://fr.wikipedia.org/wiki/Blablaland	https://fr.vikidia.org/wiki/Blablaland
Black-bass	/wiki/Black-bass	https://fr.wikipedia.org/wiki/Black-bass	https://fr.vikidia.org/wiki/Black-bass
BlackBerry	/wiki/BlackBerry	https://fr.wikipedia.org/wiki/BlackBerry	https://fr.vikidia.org/wiki/BlackBerry
Black Butler	/wiki/Black_Butler	https://fr.wikipedia.org/wiki/Black_Butler	https://fr.vikidia.org/wiki/Black_Butler
Black Clover	/wiki/Black_Clover	https://fr.wikipedia.org/wiki/Black_Clover	https://fr.vikidia.org/wiki/Black_Clover
Black Lives Matter	/wiki/Black_Lives_Matter	https://fr.wikipedia.org/wiki/Black_Lives_Matter	https://fr.vikidia.org/wiki/Black_Lives_Matter
Black M	/wiki/Black_M	https://fr.wikipedia.org/wiki/Black_M	https://fr.vikidia.org/wiki/Black_M
Black Mirror	/wiki/Black_Mirror	https://fr.wikipedia.org/wiki/Black_Mirror	https://fr.vikidia.org/wiki/Black_Mirror
Black Panther (film)	/wiki/Black_Panther_(film)	https://fr.wikipedia.org/wiki/Black_Panther_(film)	https://fr.vikidia.org/wiki/Black_Panther_(film)
Black Panther Party for Self-Defense	/wiki/Black_Panther_Party_for_Self-Defense	https://fr.wikipedia.org/wiki/Black_Panther_Party_for_Self-Defense	https://fr.vikidia.org/wiki/Black_Panther_Party_for_Self-Defense
Black Pearl	/wiki/Black_Pearl	https://fr.wikipedia.org/wiki/Black_Pearl	https://fr.vikidia.org/wiki/Black_Pearl
Black Widow	/wiki/Black_Widow	https://fr.wikipedia.org/wiki/Black_Widow	https://fr.vikidia.org/wiki/Black_Widow
Black Widow (film)	/wiki/Black_Widow_(film)	https://fr.wikipedia.org/wiki/Black_Widow_(film)	https://fr.vikidia.org/wiki/Black_Widow_(film)
Blackfire	/wiki/Blackfire	https://fr.wikipedia.org/wiki/Blackfire	https://fr.vikidia.org/wiki/Blackfire
Blackout	/wiki/Blackout	https://fr.wikipedia.org/wiki/Blackout	https://fr.vikidia.org/wiki/Blackout
Blackpink	/wiki/Blackpink	https://fr.wikipedia.org/wiki/Blackpink	https://fr.vikidia.org/wiki/Blackpink
Blackpool	/wiki/Blackpool	https://fr.wikipedia.org/wiki/Blackpool	https://fr.vikidia.org/wiki/Blackpool
Blade Runner	/wiki/Blade_Runner	https://fr.wikipedia.org/wiki/Blade_Runner	https://fr.vikidia.org/wiki/Blade_Runner
Blade Trinity	/wiki/Blade_Trinity	https://fr.wikipedia.org/wiki/Blade_Trinity	https://fr.vikidia.org/wiki/Blade_Trinity
Blagnac	/wiki/Blagnac	https://fr.wikipedia.org/wiki/Blagnac	https://fr.vikidia.org/wiki/Blagnac
Blague	/wiki/Blague	https://fr.wikipedia.org/wiki/Blague	https://fr.vikidia.org/wiki/Blague
Blain	/wiki/Blain	https://fr.wikipedia.org/wiki/Blain	https://fr.vikidia.org/wiki/Blain
Blaireau	/wiki/Blaireau	https://fr.wikipedia.org/wiki/Blaireau	https://fr.vikidia.org/wiki/Blaireau
Blaireau d'Amérique	/wiki/Blaireau_d%27Am%C3%A9rique	https://fr.wikipedia.org/wiki/Blaireau_d%27Am%C3%A9rique	https://fr.vikidia.org/wiki/Blaireau_d%27Am%C3%A9rique
Blaireau européen	/wiki/Blaireau_europ%C3%A9en	https://fr.wikipedia.org/wiki/Blaireau_europ%C3%A9en	https://fr.vikidia.org/wiki/Blaireau_europ%C3%A9en
Blaise Cendrars	/wiki/Blaise_Cendrars	https://fr.wikipedia.org/wiki/Blaise_Cendrars	https://fr.vikidia.org/wiki/Blaise_Cendrars
Blaise Compaoré	/wiki/Blaise_Compaor%C3%A9	https://fr.wikipedia.org/wiki/Blaise_Compaor%C3%A9	https://fr.vikidia.org/wiki/Blaise_Compaor%C3%A9
Blaise Matuidi	/wiki/Blaise_Matuidi	https://fr.wikipedia.org/wiki/Blaise_Matuidi	https://fr.vikidia.org/wiki/Blaise_Matuidi
Blaise Pascal	/wiki/Blaise_Pascal	https://fr.wikipedia.org/wiki/Blaise_Pascal	https://fr.vikidia.org/wiki/Blaise_Pascal
Blake Griffin	/wiki/Blake_Griffin	https://fr.wikipedia.org/wiki/Blake_Griffin	https://fr.vikidia.org/wiki/Blake_Griffin
Blake et Mortimer	/wiki/Blake_et_Mortimer	https://fr.wikipedia.org/wiki/Blake_et_Mortimer	https://fr.vikidia.org/wiki/Blake_et_Mortimer
Blanc	/wiki/Blanc	https://fr.wikipedia.org/wiki/Blanc	https://fr.vikidia.org/wiki/Blanc
Blanc (homonymie)	/wiki/Blanc_(homonymie)	https://fr.wikipedia.org/wiki/Blanc_(homonymie)	https://fr.vikidia.org/wiki/Blanc_(homonymie)
Blanc (humain)	/wiki/Blanc_(humain)	https://fr.wikipedia.org/wiki/Blanc_(humain)	https://fr.vikidia.org/wiki/Blanc_(humain)
Blanc bleu belge	/wiki/Blanc_bleu_belge	https://fr.wikipedia.org/wiki/Blanc_bleu_belge	https://fr.vikidia.org/wiki/Blanc_bleu_belge
Blanche-Neige	/wiki/Blanche-Neige	https://fr.wikipedia.org/wiki/Blanche-Neige	https://fr.vikidia.org/wiki/Blanche-Neige
Blanche-Neige et Rose-Rouge	/wiki/Blanche-Neige_et_Rose-Rouge	https://fr.wikipedia.org/wiki/Blanche-Neige_et_Rose-Rouge	https://fr.vikidia.org/wiki/Blanche-Neige_et_Rose-Rouge
Blanche-Neige et les Sept Nains	/wiki/Blanche-Neige_et_les_Sept_Nains	https://fr.wikipedia.org/wiki/Blanche-Neige_et_les_Sept_Nains	https://fr.vikidia.org/wiki/Blanche-Neige_et_les_Sept_Nains
Blanche de Beaumont	/wiki/Blanche_de_Beaumont	https://fr.wikipedia.org/wiki/Blanche_de_Beaumont	https://fr.vikidia.org/wiki/Blanche_de_Beaumont
Blanche de Bourgogne	/wiki/Blanche_de_Bourgogne	https://fr.wikipedia.org/wiki/Blanche_de_Bourgogne	https://fr.vikidia.org/wiki/Blanche_de_Bourgogne
